file,predicted_mu_b
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0061.cif,1.8469287206558258
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM0_0062.cif,1.7876148161047476
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0001.cif,2.059736264127568
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0002.cif,2.431166472144394
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0003.cif,2.2093754698138364
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0004.cif,2.2511026255225177
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0005.cif,2.523446297090406
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0006.cif,2.3376815034010305
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0007.cif,2.6069826936682867
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0008.cif,2.1233697862028538
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0009.cif,2.644883102829267
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0010.cif,2.477279750604932
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0011.cif,2.756349263271139
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0012.cif,1.7100907032887678
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0013.cif,1.6219253112591274
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0014.cif,2.1920366479547826
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0015.cif,2.6837420491529667
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0016.cif,2.1128372601206866
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0017.cif,1.2182146159791067
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0018.cif,2.182674150845399
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0019.cif,1.7543347742108868
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0020.cif,2.2545613392676715
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0021.cif,2.2107679395922486
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0022.cif,2.575417972046395
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0023.cif,2.5335808586874236
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0024.cif,2.489601690360266
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0025.cif,2.0813283729577097
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0026.cif,0.5806704521577662
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0027.cif,2.1078518248096514
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0028.cif,2.3985340951439995
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0029.cif,1.828935893972794
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0030.cif,2.923675430318271
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0031.cif,2.5080894125842685
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0032.cif,2.4016012099801745
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0033.cif,2.335160191507747
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0034.cif,1.2646191429383036
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0035.cif,1.0722384269075071
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0036.cif,2.7914467608873497
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0037.cif,1.565666469845621
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0038.cif,1.9059503347149778
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0039.cif,1.481423158184289
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0040.cif,2.5791383222935558
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0041.cif,2.275534238341614
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0042.cif,1.7685601735363474
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0043.cif,2.7543993823019277
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0044.cif,1.9884825222359417
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0045.cif,1.9052370925077375
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0046.cif,2.2082876929844852
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0047.cif,2.3321089008121416
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0048.cif,1.3759088635304164
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0049.cif,2.4278845110950096
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0050.cif,1.5145057965775697
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0051.cif,3.0150278384555502
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0052.cif,2.0950714752769817
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0053.cif,2.5638743530218893
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0054.cif,2.2961986237033014
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0055.cif,2.6127904282687537
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0056.cif,1.3751226465251136
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0057.cif,2.3796493998340096
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0058.cif,1.0512872566771665
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0059.cif,2.13341417793962
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0060.cif,2.8842803080937003
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0061.cif,2.5066527247187915
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM1_0062.cif,0.9763002580925856
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0001.cif,2.3434062620012566
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0002.cif,2.377268459148582
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0003.cif,1.809091236761095
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0004.cif,2.286417220500434
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0005.cif,2.332995736952739
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0006.cif,2.4578561509988743
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0007.cif,2.3257026862174843
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0008.cif,2.475599838838573
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0009.cif,2.3711423121672386
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0010.cif,2.365627961312453
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0011.cif,2.4698805450816894
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0012.cif,2.2427148478078007
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0013.cif,2.424789612414451
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0014.cif,2.726095411305595
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0015.cif,1.943978177757622
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0016.cif,2.283010111780997
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0017.cif,2.7879969350164613
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0018.cif,2.3257092793731005
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0019.cif,2.8964447354421807
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0020.cif,2.0364221555810884
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0021.cif,1.1909381952542795
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0022.cif,3.11414878516453
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0023.cif,2.5140580433851665
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0024.cif,1.7660150864804243
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0025.cif,2.411974340416065
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0026.cif,2.7906522512742087
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0027.cif,3.0743999195011296
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0028.cif,2.0112061782323916
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0029.cif,2.775984061126731
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0030.cif,2.3147545340322604
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0031.cif,2.3873313252382697
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0032.cif,2.1266313718037355
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0033.cif,2.1066435302404973
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0034.cif,2.285946890719689
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0035.cif,2.3715510052218125
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0036.cif,2.248592098873733
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0037.cif,2.4924274602198606
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0038.cif,2.0370379493634463
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0039.cif,2.7575209173410484
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0040.cif,2.4485216252862356
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0041.cif,1.7022550098235842
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0042.cif,2.3937454182078883
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0043.cif,1.6972868044667377
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0044.cif,2.737376628062896
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0045.cif,2.0480521445618183
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0046.cif,2.04948809456633
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0047.cif,2.3714086524564326
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0048.cif,2.4994209038625965
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0049.cif,2.4225474500559803
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0050.cif,2.394250710144512
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0051.cif,1.6138181110463468
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0052.cif,2.3860528357306263
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0053.cif,2.4012798723771813
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0054.cif,2.514765216832258
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0055.cif,1.9810771076933538
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0056.cif,2.763047033961997
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0057.cif,2.395717200476409
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0058.cif,2.246699437764838
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0059.cif,1.7510830253397345
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0060.cif,2.2960821612279996
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0061.cif,2.581554381312909
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM2_0062.cif,2.3949194269366076
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0001.cif,2.790739029217192
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0002.cif,1.8588921370586229
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0003.cif,2.4185665119686055
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0004.cif,2.6707086607342725
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0005.cif,2.373727634200946
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0006.cif,2.036226938501593
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0007.cif,2.4032508774251498
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0008.cif,2.4027653770624413
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0009.cif,2.5075461720780923
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0010.cif,2.4800446608997873
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0011.cif,2.142429886853628
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0012.cif,2.8051736907579
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0013.cif,2.4766025816576778
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0014.cif,2.5829132784718043
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0015.cif,2.555741028927629
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0016.cif,2.4751911216985727
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0017.cif,1.4800404904493114
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0018.cif,2.908527145830375
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0019.cif,2.5510060631242153
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0020.cif,2.0873066050575466
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0021.cif,1.9427583210173942
Con_CDVAE\outputs\processed_20250918_062105\cif_all\eval_gen_FM3_0022.cif,2.7088347144034737
