formula,mu_b,samples,sources,dxmag_type,n_elements
CoSbPd2,1.220263,11,dxmag,inverse,3.0
CoSbPt,0.76501265,6,dxmag,half,3.0
CoSbPt2,1.7997301,9,dxmag,inverse,3.0
CoSbRh,1.25990915,4,dxmag,half,3.0
CoSbRh2,1.873743875,8,dxmag,full,3.0
CoSbRu,1.9559434749999998,6,dxmag,half,3.0
CoSbRu2,2.659670075,10,dxmag,inverse,3.0
CoSbW,2.505e-05,6,dxmag,half,3.0
CoSbW2,0.000642475,10,dxmag,inverse,3.0
CoSiAg,0.0,5,dxmag,half,3.0
CoSiAg2,1.0642276000000002,12,dxmag,full,3.0
CoSiAu,0.0,5,dxmag,half,3.0
CoSiAu2,1.3445756,9,dxmag,inverse,3.0
CoSiIr,1.5614014,7,dxmag,half,3.0
CoSiIr2,1.535911325,10,dxmag,inverse,3.0
CoSiMo,0.2317478,7,dxmag,half,3.0
CoSiMo2,0.00024015,9,dxmag,full,3.0
CoSiNi,1.2455581,6,dxmag,half,3.0
CoSiNi2,1.19819325,6,dxmag,full,3.0
CoSiOs,1.6175859,7,dxmag,half,3.0
CoSiOs2,0.069014125,6,dxmag,full,3.0
CoSiPd,1.05216265,5,dxmag,half,3.0
CoSiPd2,1.546221125,8,dxmag,full,3.0
CoSiPt,1.15952835,6,dxmag,half,3.0
CoSiPt2,1.5702271,9,dxmag,inverse,3.0
CoSiRh,1.66413095,6,dxmag,half,3.0
CoSiRh2,2.18128825,9,dxmag,inverse,3.0
CoSiRu,1.5048921,7,dxmag,half,3.0
CoSiRu2,1.322512375,8,dxmag,inverse,3.0
CoSiW,1.25e-07,4,dxmag,half,3.0
CoSiW2,2e-07,7,dxmag,inverse,3.0
CoSnAu,0.607214,9,dxmag,half,3.0
CoSnAu2,0.6521457,6,dxmag,full,3.0
CoSnIr,1.940518175,6,dxmag,half,3.0
CoSnIr2,1.9781579,11,dxmag,inverse,3.0
CoSnMo,5.055e-05,5,dxmag,half,3.0
CoSnMo2,0.70004055,9,dxmag,inverse,3.0
CoSnOs,2.13499835,5,dxmag,half,3.0
CoSnOs2,0.3864197,10,dxmag,inverse,3.0
CoSnPd,1.687163875,6,dxmag,half,3.0
CoSnPd2,1.5581347,10,dxmag,full,3.0
CoSnPt,0.9286252,7,dxmag,half,3.0
CoSnPt2,1.562831025,8,dxmag,inverse,3.0
CoSnRh,1.78760295,7,dxmag,half,3.0
CoSnRh2,2.28600705,13,dxmag,inverse,3.0
CoSnRu,2.20935935,5,dxmag,half,3.0
CoSnRu2,3.0796939,7,dxmag,inverse,3.0
CoSnW,0.00024845,5,dxmag,half,3.0
CoSnW2,1.3725e-05,6,dxmag,full,3.0
Cr2AgAs,7.11510955,11,dxmag,inverse,3.0
Cr2AgBi,7.62985885,9,dxmag,inverse,3.0
Cr2AgGe,0.3874566,11,dxmag,inverse,3.0
Cr2AgP,4.797448525,10,dxmag,full,3.0
Cr2AgPb,7.5376019,7,dxmag,inverse,3.0
Cr2AgSb,7.2007677,9,dxmag,inverse,3.0
Cr2AgSn,1.6770982,9,dxmag,inverse,3.0
Cr2As,0.7525478,3,dxmag,half,2.0
Cr2AsAu,7.0278706,11,dxmag,inverse,3.0
Cr2AsIr,0.2847723,11,dxmag,full,3.0
Cr2AsOs,0.6542761,9,dxmag,full,3.0
Cr2AsPd,2.01773185,13,dxmag,full,3.0
Cr2AsPt,0.20798185,9,dxmag,inverse,3.0
Cr2AsRh,0.390757925,10,dxmag,full,3.0
Cr2AsRu,0.0197847,7,dxmag,full,3.0
Cr2AsW,0.34475795,8,dxmag,inverse,3.0
Cr2Bi,0.08941545000000001,4,dxmag,half,2.0
Cr2BiAu,3.90399925,8,dxmag,full,3.0
Cr2BiIr,0.044451425,8,dxmag,inverse,3.0
Cr2BiMo,1.1661346,13,dxmag,inverse,3.0
Cr2BiOs,1.31586115,8,dxmag,full,3.0
Cr2BiPd,7.53790865,8,dxmag,full,3.0
Cr2BiPt,0.0500234,7,dxmag,inverse,3.0
Cr2BiRh,4.921863775,10,dxmag,full,3.0
Cr2BiRu,1.028817225,12,dxmag,full,3.0
Cr2BiW,0.54720375,6,dxmag,full,3.0
Cr2CdAs,7.387115424999999,10,dxmag,inverse,3.0
Cr2CdBi,4.2398713500000005,10,dxmag,inverse,3.0
Cr2CdGa,3.4308359,8,dxmag,inverse,3.0
Cr2CdGe,2.93596005,8,dxmag,full,3.0
Cr2CdIn,3.6088858,8,dxmag,inverse,3.0
Cr2CdP,2.5472218499999997,12,dxmag,full,3.0
Cr2CdPb,0.2504677,7,dxmag,inverse,3.0
Cr2CdSb,3.894106775,10,dxmag,inverse,3.0
Cr2CdSi,0.05640275,5,dxmag,inverse,3.0
Cr2CdSn,6.9678037,9,dxmag,inverse,3.0
Cr2CoAs,0.4198596,15,dxmag,full,3.0
Cr2CoBi,2.01088185,15,dxmag,full,3.0
Cr2CoGe,0.322526225,10,dxmag,full,3.0
Cr2CoP,0.11634675,12,dxmag,full,3.0
Cr2CoPb,0.4940752,11,dxmag,full,3.0
Cr2CoSb,0.470590675,10,dxmag,full,3.0
Cr2CoSi,0.61519915,10,dxmag,full,3.0
Cr2CoSn,0.16021745,7,dxmag,inverse,3.0
Cr2CuAs,0.22308802500000002,8,dxmag,full,3.0
Cr2CuBi,7.0596468,9,dxmag,inverse,3.0
Cr2CuGe,0.766116,9,dxmag,inverse,3.0
Cr2CuP,0.1230079,17,dxmag,inverse,3.0
Cr2CuPb,0.6869848000000001,10,dxmag,inverse,3.0
Cr2CuSb,0.041718,5,dxmag,inverse,3.0
Cr2CuSi,0.8704054,10,dxmag,full,3.0
Cr2CuSn,0.3853403,11,dxmag,inverse,3.0
Cr2FeAs,1.01186275,7,dxmag,full,3.0
Cr2FeBi,1.029473875,8,dxmag,full,3.0
Cr2FeGe,0.15681810000000002,12,dxmag,full,3.0
Cr2FeP,1.2676167,8,dxmag,full,3.0
Cr2FePb,1.91211625,9,dxmag,full,3.0
Cr2FeSb,0.0,7,dxmag,full,3.0
Cr2FeSi,0.34786885,10,dxmag,full,3.0
Cr2FeSn,0.019747975,10,dxmag,inverse,3.0
Cr2Ga,0.4209457,3,dxmag,half,2.0
Cr2GaAg,0.33094455,9,dxmag,inverse,3.0
Cr2GaAu,0.139577075,8,dxmag,inverse,3.0
Cr2GaCo,0.017818874999999998,14,dxmag,full,3.0
Cr2GaCu,0.221878725,10,dxmag,inverse,3.0
Cr2GaFe,0.9953873,13,dxmag,inverse,3.0
Cr2GaIr,0.0001073,10,dxmag,inverse,3.0
Cr2GaMo,1.668210175,10,dxmag,inverse,3.0
Cr2GaNi,0.0464708,11,dxmag,full,3.0
Cr2GaOs,0.8835033,9,dxmag,inverse,3.0
Cr2GaPd,0.0956912,9,dxmag,inverse,3.0
Cr2GaPt,0.1114905,9,dxmag,inverse,3.0
Cr2GaRe,0.267758,10,dxmag,inverse,3.0
Cr2GaRh,5.935e-05,10,dxmag,inverse,3.0
Cr2GaRu,0.0003312,11,dxmag,full,3.0
Cr2GaW,0.6783880999999999,10,dxmag,inverse,3.0
Cr2Ge,0.1830172,5,dxmag,half,2.0
Cr2GeAu,6.5740609,9,dxmag,inverse,3.0
Cr2GeIr,1.00629,9,dxmag,full,3.0
Cr2GeMo,1.251037,9,dxmag,inverse,3.0
Cr2GeOs,0.1628676,15,dxmag,full,3.0
Cr2GePd,1.9646249999999998,14,dxmag,full,3.0
Cr2GePt,0.89659275,15,dxmag,full,3.0
Cr2GeRh,0.14029275,8,dxmag,full,3.0
Cr2GeRu,0.00063495,14,dxmag,inverse,3.0
Cr2GeW,0.38478595,9,dxmag,inverse,3.0
Cr2In,0.366021575,4,dxmag,half,2.0
Cr2InAg,0.17824415,9,dxmag,inverse,3.0
Cr2InAu,0.20056845,7,dxmag,inverse,3.0
Cr2InCo,0.47109495,6,dxmag,full,3.0
Cr2InCu,0.18225285,6,dxmag,full,3.0
Cr2InFe,1.456516675,10,dxmag,full,3.0
Cr2InIr,0.04427115,6,dxmag,full,3.0
Cr2InMo,1.701006625,6,dxmag,inverse,3.0
Cr2InNi,0.8132167,7,dxmag,inverse,3.0
Cr2InOs,2.8668368,11,dxmag,full,3.0
Cr2InPd,0.10851477500000001,12,dxmag,inverse,3.0
Cr2InPt,0.001009025,10,dxmag,inverse,3.0
Cr2InRe,1.166375425,10,dxmag,inverse,3.0
Cr2InRh,0.24609515,9,dxmag,full,3.0
Cr2InRu,0.42911520000000003,6,dxmag,inverse,3.0
Cr2InW,2.5801784,7,dxmag,inverse,3.0
Cr2IrPb,0.993103625,10,dxmag,inverse,3.0
Cr2MoAs,0.61641405,9,dxmag,full,3.0
Cr2MoP,0.1052941,10,dxmag,inverse,3.0
Cr2MoPb,0.9034993,5,dxmag,inverse,3.0
Cr2NiAs,1.4683052,10,dxmag,full,3.0
Cr2NiBi,2.6273269,10,dxmag,inverse,3.0
Cr2NiGe,0.0,9,dxmag,inverse,3.0
Cr2NiP,0.7782928,12,dxmag,full,3.0
Cr2NiPb,0.62435725,9,dxmag,full,3.0
Cr2NiSb,2.0911407,9,dxmag,full,3.0
Cr2NiSn,0.8623896,8,dxmag,full,3.0
Cr2OsPb,2.016649825,10,dxmag,full,3.0
Cr2P,0.0,1,dxmag,half,2.0
Cr2PAu,4.0098734,15,dxmag,full,3.0
Cr2PIr,0.68934975,9,dxmag,full,3.0
Cr2POs,0.000525,7,dxmag,full,3.0
Cr2PPd,0.55661215,14,dxmag,full,3.0
Cr2PPt,0.426539775,12,dxmag,full,3.0
Cr2PRh,0.02638215,8,dxmag,full,3.0
Cr2PRu,0.0766005,8,dxmag,full,3.0
Cr2PW,0.3135362,7,dxmag,inverse,3.0
Cr2Pb,0.066315,3,dxmag,half,2.0
Cr2PbAu,3.810995125,8,dxmag,inverse,3.0
Cr2PbW,1.7957023,9,dxmag,full,3.0
Cr2PdPb,7.4125229,7,dxmag,inverse,3.0
Cr2PtPb,0.252105175,6,dxmag,full,3.0
Cr2ReAs,0.26601115,8,dxmag,full,3.0
Cr2ReBi,1.0032374499999999,14,dxmag,inverse,3.0
Cr2ReGe,0.8187574,15,dxmag,inverse,3.0
Cr2ReP,0.31753875,13,dxmag,inverse,3.0
Cr2RePb,1.0793999749999998,10,dxmag,full,3.0
Cr2ReSb,0.0006672,5,dxmag,full,3.0
Cr2ReSi,0.0001025,7,dxmag,full,3.0
Cr2ReSn,0.9374533,11,dxmag,inverse,3.0
Cr2RhPb,5.4482162,9,dxmag,full,3.0
Cr2RuPb,3.9951774,9,dxmag,inverse,3.0
Cr2Sb,0.2160945,4,dxmag,half,2.0
Cr2SbAu,0.2900952,9,dxmag,inverse,3.0
Cr2SbIr,0.69790235,14,dxmag,full,3.0
Cr2SbMo,0.949925225,10,dxmag,inverse,3.0
Cr2SbOs,1.00736805,9,dxmag,full,3.0
Cr2SbPd,0.01267915,6,dxmag,inverse,3.0
Cr2SbPt,0.1114154,7,dxmag,inverse,3.0
Cr2SbRh,0.017030075,6,dxmag,full,3.0
Cr2SbRu,1.011190825,10,dxmag,full,3.0
Cr2SbW,0.8312925,10,dxmag,inverse,3.0
Cr2Si,0.0014285,3,dxmag,half,2.0
Cr2SiAg,0.9625416,7,dxmag,inverse,3.0
Cr2SiAu,2.15500685,9,dxmag,full,3.0
Cr2SiIr,0.273116,7,dxmag,full,3.0
Cr2SiMo,0.22251615,8,dxmag,inverse,3.0
Cr2SiNi,4.48e-05,9,dxmag,inverse,3.0
Cr2SiOs,0.03960985,7,dxmag,inverse,3.0
Cr2SiPd,0.1869028,9,dxmag,full,3.0
Cr2SiPt,0.00351305,6,dxmag,full,3.0
Cr2SiRh,0.00187315,7,dxmag,inverse,3.0
Cr2SiRu,0.00034382499999999997,12,dxmag,full,3.0
Cr2SiW,0.813003125,8,dxmag,full,3.0
Cr2Sn,0.117965125,4,dxmag,half,2.0
Cr2SnAu,3.70286055,8,dxmag,inverse,3.0
Cr2SnIr,1.0426477,9,dxmag,full,3.0
Cr2SnMo,1.85834785,7,dxmag,inverse,3.0
Cr2SnOs,0.393109675,8,dxmag,full,3.0
Cr2SnPd,7.14067835,8,dxmag,full,3.0
Cr2SnPt,6.087066224999999,8,dxmag,full,3.0
Cr2SnRh,0.05372315,8,dxmag,full,3.0
Cr2SnRu,0.05877245,13,dxmag,full,3.0
Cr2SnW,1.5639484,11,dxmag,inverse,3.0
Cr3As,0.799424625,8,dxmag,full,2.0
Cr3Bi,2.814029875,6,dxmag,full,2.0
Cr3Ga,1.4345230249999998,4,dxmag,full,2.0
Cr3Ge,0.0,5,dxmag,full,2.0
Cr3In,2.9405614,3,dxmag,full,2.0
Cr3P,0.0,2,dxmag,full,2.0
Cr3Pb,2.08748675,3,dxmag,full,2.0
Cr3Sb,0.0,2,dxmag,full,2.0
Cr3Si,1.9099095,3,dxmag,full,2.0
Cr3Sn,1.9913707,3,dxmag,full,2.0
CrAg2As,4.1198855,5,dxmag,full,3.0
CrAg2Bi,4.232517575,6,dxmag,full,3.0
CrAg2Ge,3.856547,8,dxmag,full,3.0
CrAg2P,4.002627275,8,dxmag,full,3.0
CrAg2Pb,4.23038115,8,dxmag,full,3.0
CrAg2Sb,4.2891995,7,dxmag,full,3.0
CrAg2Sn,3.978844725,6,dxmag,full,3.0
CrAgAs,0.0,7,dxmag,half,3.0
CrAgBi,3.90739295,4,dxmag,half,3.0
CrAgGe,3.1143062500000003,8,dxmag,half,3.0
CrAgP,3.2528459,9,dxmag,half,3.0
CrAgPb,3.7191658,5,dxmag,half,3.0
CrAgSb,3.3773813,5,dxmag,half,3.0
CrAgSn,3.43874295,6,dxmag,half,3.0
CrAsAu,3.13239525,9,dxmag,half,3.0
CrAsAu2,3.7125781,10,dxmag,full,3.0
CrAsIr,2.0,3,dxmag,half,3.0
CrAsIr2,0.0,5,dxmag,inverse,3.0
CrAsOs,0.00011925,5,dxmag,half,3.0
CrAsOs2,0.0,5,dxmag,inverse,3.0
CrAsPd,2.65015715,6,dxmag,half,3.0
CrAsPd2,3.40032245,8,dxmag,full,3.0
CrAsPt,2.8657792,5,dxmag,half,3.0
CrAsPt2,3.20305685,9,dxmag,inverse,3.0
CrAsRh,0.829398825,6,dxmag,half,3.0
CrAsRh2,2.519192875,6,dxmag,full,3.0
CrAsRu,0.038850024999999996,6,dxmag,half,3.0
CrAsRu2,2.24969635,7,dxmag,full,3.0
CrAsW,0.366115775,6,dxmag,half,3.0
CrAsW2,0.4860879,11,dxmag,full,3.0
CrBiAu,3.58315605,5,dxmag,half,3.0
CrBiAu2,3.981092325,6,dxmag,full,3.0
CrBiIr,2.471131925,6,dxmag,half,3.0
CrBiIr2,0.0,6,dxmag,full,3.0
CrBiMo,0.0,2,dxmag,half,3.0
CrBiMo2,0.0,7,dxmag,inverse,3.0
CrBiOs,2e-07,5,dxmag,half,3.0
CrBiOs2,0.0,4,dxmag,full,3.0
CrBiPd,3.47787385,6,dxmag,half,3.0
CrBiPd2,3.9870322,5,dxmag,inverse,3.0
CrBiPt,3.14564935,5,dxmag,half,3.0
CrBiPt2,3.86254685,8,dxmag,full,3.0
CrBiRh,2.74478275,6,dxmag,half,3.0
CrBiRh2,3.43825045,13,dxmag,full,3.0
CrBiRu,0.9987629,7,dxmag,half,3.0
CrBiRu2,0.93208025,8,dxmag,full,3.0
CrBiW,0.49998774999999995,4,dxmag,half,3.0
CrBiW2,0.0,5,dxmag,full,3.0
CrCd2As,4.356317375,8,dxmag,full,3.0
CrCd2Bi,4.387157374999999,8,dxmag,full,3.0
CrCd2Ga,3.89197595,10,dxmag,full,3.0
CrCd2Ge,3.92223395,9,dxmag,full,3.0
CrCd2In,3.9683691,9,dxmag,full,3.0
CrCd2P,4.28923745,6,dxmag,full,3.0
CrCd2Pb,3.94588435,7,dxmag,full,3.0
CrCd2Sb,4.3790981,7,dxmag,full,3.0
CrCd2Si,3.45733725,9,dxmag,full,3.0
CrCd2Sn,4.016253725,8,dxmag,full,3.0
CrCdAs,3.61387815,8,dxmag,half,3.0
CrCdBi,3.8845841500000002,6,dxmag,half,3.0
CrCdGa,3.64426375,7,dxmag,half,3.0
CrCdGe,3.2154689750000003,8,dxmag,half,3.0
CrCdIn,3.90872415,7,dxmag,half,3.0
CrCdP,3.614479225,8,dxmag,half,3.0
CrCdPb,3.9006154,5,dxmag,half,3.0
CrCdSb,3.8330173,7,dxmag,half,3.0
CrCdSi,2.7504579,9,dxmag,half,3.0
CrCdSn,3.4562972,5,dxmag,half,3.0
CrCo2As,1.48713565,10,dxmag,full,3.0
CrCo2Bi,1.3842632,9,dxmag,inverse,3.0
CrCo2Ge,1.94937875,11,dxmag,full,3.0
CrCo2P,1.1984523249999999,6,dxmag,full,3.0
CrCo2Pb,0.276,15,dxmag,inverse,3.0
CrCo2Sb,1.51680615,11,dxmag,inverse,3.0
CrCo2Si,0.733384975,10,dxmag,full,3.0
CrCo2Sn,0.8611946,15,dxmag,inverse,3.0
CrCoAs,1.04372325,8,dxmag,half,3.0
CrCoBi,1.3893794000000002,6,dxmag,half,3.0
CrCoGe,0.9999828,3,dxmag,half,3.0
CrCoP,-0.0001917,6,dxmag,half,3.0
CrCoPb,1.41837485,10,dxmag,half,3.0
CrCoSb,1.9999664,3,dxmag,half,3.0
CrCoSi,0.75001505,4,dxmag,half,3.0
CrCoSn,0.989126475,6,dxmag,half,3.0
CrCu2As,3.38401575,13,dxmag,inverse,3.0
CrCu2Bi,3.9249086,7,dxmag,inverse,3.0
CrCu2Ge,3.20453415,9,dxmag,full,3.0
CrCu2P,3.1948527,11,dxmag,full,3.0
CrCu2Pb,3.8943418750000003,6,dxmag,full,3.0
CrCu2Sb,3.60395785,9,dxmag,inverse,3.0
CrCu2Si,2.925503975,8,dxmag,full,3.0
CrCu2Sn,3.599561175,6,dxmag,full,3.0
CrCuAs,3.1824779999999997,8,dxmag,half,3.0
CrCuBi,3.484067075,6,dxmag,half,3.0
CrCuGe,3.0818513000000003,6,dxmag,half,3.0
CrCuP,3.2368089500000004,8,dxmag,half,3.0
CrCuPb,3.51501835,9,dxmag,half,3.0
CrCuSb,3.4006049999999997,8,dxmag,half,3.0
CrCuSi,2.9813149,5,dxmag,half,3.0
CrCuSn,3.29776795,5,dxmag,half,3.0
CrFe2As,1.1084987,11,dxmag,full,3.0
CrFe2Bi,2.1182276,9,dxmag,full,3.0
CrFe2Ge,1.468345075,8,dxmag,full,3.0
CrFe2P,2.3072122999999998,10,dxmag,full,3.0
CrFe2Pb,1.678006875,10,dxmag,full,3.0
CrFe2Sb,1.16678435,13,dxmag,full,3.0
CrFe2Si,1.9451791,6,dxmag,full,3.0
CrFe2Sn,3.8828559,21,dxmag,inverse,3.0
CrFeAs,0.776583275,6,dxmag,half,3.0
CrFeBi,0.36042895,9,dxmag,half,3.0
CrFeGe,0.0,5,dxmag,half,3.0
CrFeP,0.5,5,dxmag,half,3.0
CrFePb,0.0,2,dxmag,half,3.0
CrFeSb,1.00000095,8,dxmag,half,3.0
CrFeSi,0.0,3,dxmag,half,3.0
CrFeSn,0.0,2,dxmag,half,3.0
CrGaAg,3.77911355,9,dxmag,half,3.0
CrGaAg2,3.8946361,7,dxmag,inverse,3.0
CrGaAu,3.5838821,7,dxmag,half,3.0
CrGaAu2,3.7745573,7,dxmag,inverse,3.0
CrGaCo,0.0,2,dxmag,half,3.0
CrGaCo2,0.882157625,16,dxmag,inverse,3.0
CrGaCu,2.7506821,5,dxmag,half,3.0
CrGaCu2,3.1064582,5,dxmag,inverse,3.0
CrGaFe,0.73186805,9,dxmag,half,3.0
CrGaFe2,1.5274946,7,dxmag,inverse,3.0
CrGaIr,0.0,2,dxmag,half,3.0
CrGaIr2,1.1691891749999999,10,dxmag,inverse,3.0
CrGaMo,0.0,3,dxmag,half,3.0
CrGaMo2,0.0012251,6,dxmag,inverse,3.0
CrGaNi,2.88879075,11,dxmag,half,3.0
CrGaNi2,2.763821975,12,dxmag,inverse,3.0
CrGaOs,0.339009725,8,dxmag,half,3.0
CrGaOs2,0.32364395,7,dxmag,inverse,3.0
CrGaPd,3.599159325,8,dxmag,half,3.0
CrGaPd2,3.6875285499999997,8,dxmag,full,3.0
CrGaPt,2.1893774,9,dxmag,half,3.0
CrGaPt2,3.1762241500000004,12,dxmag,inverse,3.0
CrGaRe,0.0435265,5,dxmag,half,3.0
CrGaRe2,0.00080165,7,dxmag,inverse,3.0
CrGaRh,4e-07,3,dxmag,half,3.0
CrGaRh2,2.34940155,9,dxmag,inverse,3.0
CrGaRu,1.0185525,3,dxmag,half,3.0
CrGaRu2,1.1464613,13,dxmag,inverse,3.0
CrGaW,0.4211938,7,dxmag,half,3.0
CrGaW2,3.5e-07,7,dxmag,inverse,3.0
CrGeAu,2.9888233,8,dxmag,half,3.0
CrGeAu2,3.940086225,6,dxmag,inverse,3.0
CrGeIr,0.171154725,6,dxmag,half,3.0
CrGeIr2,2.12518735,8,dxmag,full,3.0
CrGeMo,0.0001831,5,dxmag,half,3.0
CrGeMo2,0.0007814,5,dxmag,inverse,3.0
CrGeOs,0.07984925,5,dxmag,half,3.0
CrGeOs2,0.00036385,5,dxmag,full,3.0
CrGePd,2.7537263750000003,4,dxmag,half,3.0
CrGePd2,3.50153375,7,dxmag,inverse,3.0
CrGePt,2.3185427,6,dxmag,half,3.0
CrGePt2,3.3592624,11,dxmag,inverse,3.0
CrGeRh,0.93432415,7,dxmag,half,3.0
CrGeRh2,0.0399983,7,dxmag,inverse,3.0
CrGeRu,0.0,2,dxmag,half,3.0
CrGeRu2,0.28047645,9,dxmag,inverse,3.0
CrGeW,4.9e-06,5,dxmag,half,3.0
CrGeW2,2.175e-06,8,dxmag,inverse,3.0
CrInAg,4.1305793,7,dxmag,half,3.0
CrInAg2,4.050334149999999,6,dxmag,full,3.0
CrInAu,3.978922075,6,dxmag,half,3.0
CrInAu2,3.956337025,6,dxmag,inverse,3.0
CrInCo,0.0,2,dxmag,half,3.0
CrInCo2,1.57064905,17,dxmag,inverse,3.0
CrInCu,3.7274678249999997,8,dxmag,half,3.0
CrInCu2,3.50309925,9,dxmag,inverse,3.0
CrInFe,0.9714617,9,dxmag,half,3.0
CrInFe2,1.869540925,16,dxmag,inverse,3.0
CrInIr,5e-08,3,dxmag,half,3.0
CrInIr2,0.8528517,7,dxmag,full,3.0
CrInMo,0.0,3,dxmag,half,3.0
CrInMo2,0.0,4,dxmag,full,3.0
CrInNi,3.727754325,8,dxmag,half,3.0
CrInNi2,3.61557965,11,dxmag,inverse,3.0
CrInOs,1.032174025,4,dxmag,half,3.0
CrInOs2,0.0,4,dxmag,full,3.0
CrInPd,4.096781575,8,dxmag,half,3.0
CrInPd2,3.94973105,8,dxmag,inverse,3.0
CrInPt,3.7211779500000004,6,dxmag,half,3.0
CrInPt2,3.67194185,7,dxmag,full,3.0
CrInRe,0.0021988,7,dxmag,half,3.0
CrInRe2,0.0,4,dxmag,full,3.0
CrInRh,0.0,2,dxmag,half,3.0
CrInRh2,2.67215425,13,dxmag,inverse,3.0
CrInRu,1.3902449,6,dxmag,half,3.0
CrInRu2,1.2938543999999998,10,dxmag,inverse,3.0
CrInW,3.32e-05,5,dxmag,half,3.0
CrInW2,0.0,4,dxmag,full,3.0
CrIr2Pb,0.0,6,dxmag,full,3.0
CrIrPb,1.886038825,10,dxmag,half,3.0
CrMo2As,9.34e-05,7,dxmag,inverse,3.0
CrMo2P,0.0002676,8,dxmag,full,3.0
CrMo2Pb,0.0,3,dxmag,full,3.0
CrMoAs,0.250002525,6,dxmag,half,3.0
CrMoP,0.0,3,dxmag,half,3.0
CrMoPb,0.0,2,dxmag,half,3.0
CrNi2As,2.801711,9,dxmag,inverse,3.0
CrNi2Bi,3.4312525249999997,8,dxmag,inverse,3.0
CrNi2Ge,2.88688575,11,dxmag,inverse,3.0
CrNi2P,2.682671375,6,dxmag,full,3.0
CrNi2Pb,3.5094671,5,dxmag,full,3.0
CrNi2Sb,3.273187375,8,dxmag,inverse,3.0
CrNi2Sn,3.4122541,7,dxmag,inverse,3.0
CrNiAs,3.0000041,8,dxmag,half,3.0
CrNiBi,3.2282009,7,dxmag,half,3.0
CrNiGe,2.120548725,10,dxmag,half,3.0
CrNiP,3.0,7,dxmag,half,3.0
CrNiPb,3.21917595,7,dxmag,half,3.0
CrNiSb,2.83477865,8,dxmag,half,3.0
CrNiSn,2.9728797,7,dxmag,half,3.0
CrOs2Pb,1.8434508,5,dxmag,full,3.0
CrOsPb,0.7586064,3,dxmag,half,3.0
CrPAu,2.98424645,8,dxmag,half,3.0
CrPAu2,3.6657251,11,dxmag,full,3.0
CrPIr,1.000176375,4,dxmag,half,3.0
CrPIr2,1.073290975,8,dxmag,full,3.0
CrPOs,0.0,3,dxmag,half,3.0
CrPOs2,0.0,7,dxmag,inverse,3.0
CrPPd,2.498667825,8,dxmag,half,3.0
CrPPd2,3.188369925,8,dxmag,full,3.0
CrPPt,0.0,3,dxmag,half,3.0
CrPPt2,3.093804325,12,dxmag,inverse,3.0
CrPRh,0.0,3,dxmag,half,3.0
CrPRh2,1.91647355,7,dxmag,full,3.0
CrPRu,0.0010387,6,dxmag,half,3.0
CrPRu2,2.218329625,8,dxmag,full,3.0
CrPW,0.0,4,dxmag,half,3.0
CrPW2,0.0,6,dxmag,full,3.0
CrPbAu,3.6955109,6,dxmag,half,3.0
CrPbAu2,4.215196499999999,6,dxmag,full,3.0
CrPbW,0.0799808,7,dxmag,half,3.0
CrPbW2,0.0,4,dxmag,full,3.0
CrPd2Pb,3.8947549,8,dxmag,inverse,3.0
CrPdPb,3.710168425,6,dxmag,half,3.0
CrPt2Pb,3.694214225,8,dxmag,full,3.0
CrPtPb,3.48766485,7,dxmag,half,3.0
CrRe2As,0.0,4,dxmag,full,3.0
CrRe2Bi,0.7024016,7,dxmag,inverse,3.0
CrRe2Ge,2.03e-05,7,dxmag,full,3.0
CrRe2P,0.0,5,dxmag,inverse,3.0
CrRe2Pb,0.0,4,dxmag,full,3.0
CrRe2Sb,0.0,5,dxmag,inverse,3.0
CrRe2Si,0.019145950000000002,4,dxmag,full,3.0
CrRe2Sn,0.0,3,dxmag,inverse,3.0
CrReAs,1.1e-06,5,dxmag,half,3.0
CrReBi,0.20556525,5,dxmag,half,3.0
CrReGe,6e-05,5,dxmag,half,3.0
CrReP,0.0,3,dxmag,half,3.0
CrRePb,0.504727975,4,dxmag,half,3.0
CrReSb,0.02077615,6,dxmag,half,3.0
CrReSi,0.2352325,8,dxmag,half,3.0
CrReSn,1.14e-05,5,dxmag,half,3.0
CrRh2Pb,2.80450685,6,dxmag,full,3.0
CrRhPb,3.1015608749999997,6,dxmag,half,3.0
CrRu2Pb,2.09654835,8,dxmag,inverse,3.0
CrRuPb,1.3170573,5,dxmag,half,3.0
CrSbAu,3.219867075,6,dxmag,half,3.0
CrSbAu2,3.9705437000000003,8,dxmag,full,3.0
CrSbIr,0.999651175,4,dxmag,half,3.0
CrSbIr2,0.0,5,dxmag,inverse,3.0
CrSbMo,0.503349775,4,dxmag,half,3.0
CrSbMo2,0.38517855,8,dxmag,full,3.0
CrSbOs,0.5000998750000001,4,dxmag,half,3.0
CrSbOs2,1.0449356,6,dxmag,full,3.0
CrSbPd,2.9954385,9,dxmag,half,3.0
CrSbPd2,3.7370358,9,dxmag,inverse,3.0
CrSbPt,2.875514775,6,dxmag,half,3.0
CrSbPt2,3.6817149,9,dxmag,inverse,3.0
CrSbRh,2.4042845,7,dxmag,half,3.0
CrSbRh2,1.9228560000000001,8,dxmag,full,3.0
CrSbRu,0.1704545,5,dxmag,half,3.0
CrSbRu2,0.3328032,9,dxmag,inverse,3.0
CrSbW,0.4902028,4,dxmag,half,3.0
CrSbW2,0.0,5,dxmag,full,3.0
